# docId	iri	latestSearchDate	lastUpdated	lastAuthor	context	contextIri	release	gene	geneOmim	disease	omim	mondo	consensusAssertion	status-assertion	status-overall	status-stg1
AC1003	/AC1003	Mon Jul 01 00:00:00 UTC 2019	Wed, 22 Apr 2020 21:58:40 -0000	Hunter Jessica	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1003	1.0.1	RAF1	164760	Noonan syndrome	611553	0012690	Assertion Pending	Incomplete	Released	Complete
AC1003	/AC1003	Mon Jul 01 00:00:00 UTC 2019	Wed, 22 Apr 2020 21:58:40 -0000	Hunter Jessica	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1003	1.0.1	RIT1	609591	Noonan syndrome	615355	0014143	Assertion Pending	Incomplete	Released	Complete
AC1003	/AC1003	Mon Jul 01 00:00:00 UTC 2019	Wed, 22 Apr 2020 21:58:40 -0000	Hunter Jessica	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1003	1.0.1	SOS1	182530	Noonan syndrome	610733	0012547	Assertion Pending	Incomplete	Released	Complete
AC1003	/AC1003	Mon Jul 01 00:00:00 UTC 2019	Wed, 22 Apr 2020 21:58:40 -0000	Hunter Jessica	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1003	1.0.1	SOS2	601247	Noonan syndrome	616559	0014691	Assertion Pending	Incomplete	Released	Complete
AC061	/AC061	Tue Sep 15 00:00:00 UTC 2015	Mon, 27 Apr 2020 21:33:21 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC061	1.2.1	FH	136850	Hereditary Leiomyomatosis and Renal Cell Cancer	150800	0007888	Assertion Pending	Incomplete	Released	Complete
AC1002	/AC1002	Mon Dec 17 00:00:00 UTC 2018	Wed, 19 Aug 2020 22:32:31 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1002	1.1.2	ALDH7A1	107323	Pyridoxine-dependent epilepsy	266100	0020741	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1038	/AC1038	Sat May 29 00:00:00 UTC 2021	Mon, 04 Oct 2021 19:43:08 -0000	Gilmore Mari	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1038		F7	613878	Factor VII deficiency	227500	0009211	Strong Actionability	Complete	Released	Complete
AC056	/AC056	Mon Aug 14 00:00:00 UTC 2017	Wed, 22 Apr 2020 21:17:11 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC056	2.1.1	ACTC1	102540	Familial Hypertrophic Cardiomyopathy	612098	0024573	Assertion Pending	Incomplete	Released	Complete
AC056	/AC056	Mon Aug 14 00:00:00 UTC 2017	Wed, 22 Apr 2020 21:17:11 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC056	2.1.1	CSRP3	600824	Familial Hypertrophic Cardiomyopathy	612124	0024573	Assertion Pending	Incomplete	Released	Complete
AC056	/AC056	Mon Aug 14 00:00:00 UTC 2017	Wed, 22 Apr 2020 21:17:11 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC056	2.1.1	MYBPC3	600958	Familial Hypertrophic Cardiomyopathy	115197	0024573	Assertion Pending	Incomplete	Released	Complete
AC056	/AC056	Mon Aug 14 00:00:00 UTC 2017	Wed, 22 Apr 2020 21:17:11 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC056	2.1.1	MYH7	160760	Familial Hypertrophic Cardiomyopathy	192600	0024573	Assertion Pending	Incomplete	Released	Complete
AC056	/AC056	Mon Aug 14 00:00:00 UTC 2017	Wed, 22 Apr 2020 21:17:11 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC056	2.1.1	MYL2	160781	Familial Hypertrophic Cardiomyopathy	608758	0024573	Assertion Pending	Incomplete	Released	Complete
AC056	/AC056	Mon Aug 14 00:00:00 UTC 2017	Wed, 22 Apr 2020 21:17:11 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC056	2.1.1	MYL3	160790	Familial Hypertrophic Cardiomyopathy	608751	0024573	Assertion Pending	Incomplete	Released	Complete
AC056	/AC056	Mon Aug 14 00:00:00 UTC 2017	Wed, 22 Apr 2020 21:17:11 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC056	2.1.1	PRKAG2	602743	Familial Hypertrophic Cardiomyopathy	600858	0024573	Assertion Pending	Incomplete	Released	Complete
AC056	/AC056	Mon Aug 14 00:00:00 UTC 2017	Wed, 22 Apr 2020 21:17:11 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC056	2.1.1	TNNI3	191044	Familial Hypertrophic Cardiomyopathy	613690	0024573	Assertion Pending	Incomplete	Released	Complete
AC056	/AC056	Mon Aug 14 00:00:00 UTC 2017	Wed, 22 Apr 2020 21:17:11 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC056	2.1.1	TNNT2	191045	Familial Hypertrophic Cardiomyopathy	115195	0024573	Assertion Pending	Incomplete	Released	Complete
AC056	/AC056	Mon Aug 14 00:00:00 UTC 2017	Wed, 22 Apr 2020 21:17:11 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC056	2.1.1	TPM1	191010	Familial Hypertrophic Cardiomyopathy	115196	0024573	Assertion Pending	Incomplete	Released	Complete
AC1015	/AC1015	Mon Nov 02 21:15:11 UTC 2020	Wed, 10 Feb 2021 01:25:13 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1015	1.0.0	PHYH	602026	Refsum disease	266500	0009958	Moderate Actionability	Complete	Released	Complete
AC110	/AC110	Fri Jul 08 00:00:00 UTC 2016	Wed, 29 Apr 2020 23:57:01 -0000	Mittendorf Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC110	1.2.2	PAH	612349	Phenylketonuria (PKU)	261600	0009861	Assertion Pending	Incomplete	Released	Complete
AC135	/AC135	Tue May 09 00:00:00 UTC 2017	Thu, 16 Apr 2020 16:37:02 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC135	1.2.1	PROC	612283	Thrombophilia due to protein C deficiency	176860	0008316	Assertion Pending	Incomplete	Released	Incomplete
AC135	/AC135	Tue May 09 00:00:00 UTC 2017	Thu, 16 Apr 2020 16:37:02 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC135	1.2.1	PROC	612283	Thrombophilia due to protein C deficiency	612304	0012860	Assertion Pending	Incomplete	Released	Incomplete
AC086	/AC086	Thu Sep 22 00:00:00 UTC 2016	Wed, 19 Aug 2020 18:43:18 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC086	1.2.1	CDKN2A	600160	Pancreatic cancer/melanoma syndrome	606719	0011713	Assertion Pending	Incomplete	Released	Complete
AC148	/AC148	Wed Dec 20 00:00:00 UTC 2017	Wed, 29 Apr 2020 19:51:45 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC148	1.2.1	DNM2	602378	DNM2-Related Intermediate Charcot-Marie-Tooth Neuropathy	606482	0011674	Assertion Pending	Incomplete	Released	Complete
AC076	/AC076	Tue Jan 12 00:00:00 UTC 2021	Mon, 03 May 2021 20:37:01 -0000	Hunter Jessica	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC076	2.0.0	CACNA1S	114208	Malignant Hyperthermia Susceptibility	601887	0018493	Strong Actionability	Complete	Released	Complete
AC076	/AC076	Tue Jan 12 00:00:00 UTC 2021	Mon, 03 May 2021 20:37:01 -0000	Hunter Jessica	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC076	2.0.0	RYR1	180901	Malignant Hyperthermia Susceptibility	145600	0018493	Strong Actionability	Complete	Released	Complete
AC115	/AC115	Thu Jan 02 00:00:00 UTC 2020	Mon, 29 Mar 2021 22:00:30 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC115	2.0.1	STK11	602216	Peutz-Jeghers Syndrome	175200	0008280	Strong Actionability	Complete	Released	Complete
AC099	/AC099	Thu Jul 28 00:00:00 UTC 2016	Sat, 02 May 2020 03:22:47 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC099	1.2.1	NOTCH3	600276	Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukocenphalopathy, type 1	125310	0007432	Assertion Pending	Incomplete	Released	Complete
AC124	/AC124	Mon Mar 27 00:00:00 UTC 2017	Wed, 19 Aug 2020 19:05:17 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC124	1.2.1	NF1	613113	Neurofibromatosis type 1	162200	0018975	Assertion Pending	Incomplete	Released	Incomplete
AC1009	/AC1009	Thu Mar 12 00:00:00 UTC 2020	Thu, 16 Sep 2021 21:13:00 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1009	1.0.2	ITGA2B	607759	Glanzmann thrombasthenia	273800	0100326	Strong Actionability	Complete	Released	Complete
AC1009	/AC1009	Thu Mar 12 00:00:00 UTC 2020	Thu, 16 Sep 2021 21:13:00 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1009	1.0.2	ITGB3	173470	Glanzmann thrombasthenia	273800	0100326	Strong Actionability	Complete	Released	Complete
AC028	/AC028	Mon Sep 14 00:00:00 UTC 2015	Wed, 23 Dec 2020 18:40:53 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC028	1.2.1	ATP7B	606882	Wilson Disease	277900	0010200	Assertion Pending	Complete	Released	Complete
AC138	/AC138	Wed Jul 29 00:00:00 UTC 2015	Wed, 29 Apr 2020 20:36:43 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC138	2.1.2	DMD	300377	Dilated cardiomyopathy	302045	0010542	Assertion Pending	Incomplete	Released	Complete
AC138	/AC138	Wed Jul 29 00:00:00 UTC 2015	Wed, 29 Apr 2020 20:36:43 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC138	2.1.2	LMNA	150330	Dilated cardiomyopathy	115200	0007269	Assertion Pending	Incomplete	Released	Complete
AC138	/AC138	Wed Jul 29 00:00:00 UTC 2015	Wed, 29 Apr 2020 20:36:43 -0000	Wallace Kathleen	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC138	2.1.2	TNNT2	191045	Dilated cardiomyopathy	601494	0011095	Assertion Pending	Incomplete	Released	Complete
AC102	/AC102	Mon May 23 00:00:00 UTC 2016	Tue, 28 Apr 2020 22:33:54 -0000	Gilmore Mari	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC102	1.2.1	MEFV	608107	Familial Mediterranean Fever (AD)	134610	0007601	Assertion Pending	Incomplete	Released	Complete
AC143	/AC143	Thu Jul 13 00:00:00 UTC 2017	Mon, 20 Apr 2020 23:21:59 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC143	1.1.1	EMD	300384	Emery-Dreifuss Muscular Dystrophy (AD, XL)	310300	0016830	Assertion Pending	Incomplete	Released	Complete
AC143	/AC143	Thu Jul 13 00:00:00 UTC 2017	Mon, 20 Apr 2020 23:21:59 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC143	1.1.1	FHL1	300163	Emery-Dreifuss Muscular Dystrophy (AD, XL)	300696	0016830	Assertion Pending	Incomplete	Released	Complete
AC143	/AC143	Thu Jul 13 00:00:00 UTC 2017	Mon, 20 Apr 2020 23:21:59 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC143	1.1.1	LMNA	150330	Emery-Dreifuss Muscular Dystrophy (AD, XL)	181350	0016830	Assertion Pending	Incomplete	Released	Complete
AC025	/AC025	Fri Jul 11 00:00:00 UTC 2014	Mon, 21 Jun 2021 20:50:47 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC025	2.1.2	PTEN	601728	PTEN Hamartoma Tumor Syndrome - Cowden Syndrome	158350	0008020	Strong Actionability	Complete	Released	Complete
AC066	/AC066	Fri Dec 18 00:00:00 UTC 2015	Tue, 19 Jan 2021 00:42:20 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC066	1.1.1	BMPR1A	601299	Juvenile polyposis syndrome	174900	0017380	Assertion Pending	Complete	Released	Complete
AC066	/AC066	Fri Dec 18 00:00:00 UTC 2015	Tue, 19 Jan 2021 00:42:20 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC066	1.1.1	SMAD4	600993	Juvenile polyposis syndrome	174900	0017380	Assertion Pending	Complete	Released	Complete
AC066	/AC066	Fri Dec 18 00:00:00 UTC 2015	Tue, 19 Jan 2021 00:42:20 -0000	Jenkins Charisma	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC066	1.1.1	SMAD4	600993	Juvenile polyposis syndrome	175050	0017380	Assertion Pending	Complete	Released	Complete
AC023	/AC023	Tue Mar 10 00:00:00 UTC 2015	Thu, 04 Apr 2019 16:27:37 -0000	Administrator Account Genboree	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC023	2.0.0	SDHAF2	613019	Hereditary Paragangliomas-Pheochromocytoma Syndrome (Paragangliomas II)	601650		Assertion Pending	Incomplete	Retracted	Complete
AC145	/AC145	Mon Dec 23 00:00:00 UTC 2019	Mon, 29 Mar 2021 22:05:17 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC145	2.0.1	TTR	176300	Hereditary transthyretin-related amyloidosis	105210	0017132	Strong Actionability	Complete	Released	Complete
AC010	/AC010	Thu Nov 18 04:25:19 UTC 2021	Thu, 18 Nov 2021 04:26:36 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC010	1.0.0	FGF23	605380	Hypophosphatemic rickets, autosomal dominant	193100	0008660	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1039	/AC1039	Wed May 19 00:00:00 UTC 2021	Mon, 23 Aug 2021 18:58:39 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1039	1.0.1	HADHA	600890	Disorders of the trifunctional protein complex	609015	0012172	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1039	/AC1039	Wed May 19 00:00:00 UTC 2021	Mon, 23 Aug 2021 18:58:39 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1039	1.0.1	HADHA	600890	Disorders of the trifunctional protein complex	609016	0012173	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC1039	/AC1039	Wed May 19 00:00:00 UTC 2021	Mon, 23 Aug 2021 18:58:39 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC1039	1.0.1	HADHB	143450	Disorders of the trifunctional protein complex	609015	0012172	N/A - Insufficient evidence: early rule-out	Incomplete	Released	Failed
AC089	/AC089	Tue Oct 11 00:00:00 UTC 2016	Mon, 20 Apr 2020 23:43:44 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC089	1.1.1	COL5A1	120215	Ehlers-Danlos syndrome, classic type	130000	0007522	Assertion Pending	Incomplete	Released	Complete
AC089	/AC089	Tue Oct 11 00:00:00 UTC 2016	Mon, 20 Apr 2020 23:43:44 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC089	1.1.1	COL5A2	120190	Ehlers-Danlos syndrome, classic type	130010	0007522	Assertion Pending	Incomplete	Released	Complete
AC100	/AC100	Fri Mar 01 00:00:00 UTC 2019	Mon, 16 Aug 2021 21:04:50 -0000	Pak Christine	Adult	https://actionability.clinicalgenome.org/ac/Adult/api/sepio/doc/AC100	2.1.4	FBN1	134797	Marfan Syndrome	154700	0007947	Definitive Actionability	Complete	Released	Complete
