# docId	topicIri	latestSearchDate	lastUpdated	lastAuthor	context	contextIri	release	releaseDate	gene	geneOmim	disease	omim	status-overall	status-stg1	status-stg2	status-scoring	outcome	outcomeScoringGroup	intervention	interventionScoringGroup	severity	likelihood	natureOfIntervention	effectiveness	overall
AC1020	/AC1020	Mon Oct 12 00:00:00 UTC 2020	Mon, 29 Mar 2021 20:44:56 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1020	1.0.1	Mon, 29 Mar 2021 00:00:00 -0000	PIK3R1	171833	SHORT syndrome	269880	Released	Complete	Complete	Complete	Morbidity due to disorders of glucose and lipid metabolism	GroupA	Metabolic management (includes monitoring/treatment of hyperglycemia and hyperlipidemia)	GroupA	1	3C	3	2C	9CC
AC1020	/AC1020	Mon Oct 12 00:00:00 UTC 2020	Mon, 29 Mar 2021 20:44:56 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1020	1.0.1	Mon, 29 Mar 2021 00:00:00 -0000	PIK3R1	171833	SHORT syndrome	269880	Released	Complete	Complete	Complete	Morbidity due to sensory impairment	GroupA	Referral to a multidisciplinary care team, if available, and regular audiologic and ophthalmologic evaluations to optimize hearing and vision	GroupA	1	2N	3	3C	9NC
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	CIB2	605564	Prelingual non-syndromic hearing loss and deafness	609439	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	CABP2	607314	Prelingual non-syndromic hearing loss and deafness	614899	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	CDH23	605516	Prelingual non-syndromic hearing loss and deafness	601386	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	CLDN14	605608	Prelingual non-syndromic hearing loss and deafness	614035	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	ESPN	606351	Prelingual non-syndromic hearing loss and deafness	609006	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	ESRRB	602167	Prelingual non-syndromic hearing loss and deafness	608565	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	GIPC3	608792	Prelingual non-syndromic hearing loss and deafness	601869	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	GJB2	121011	Prelingual non-syndromic hearing loss and deafness	220290	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	GRXCR1	613283	Prelingual non-syndromic hearing loss and deafness	613285	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	ILDR1	609739	Prelingual non-syndromic hearing loss and deafness	609646	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	LHFPL5	609427	Prelingual non-syndromic hearing loss and deafness	610265	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	LRTOMT	612414	Prelingual non-syndromic hearing loss and deafness	611451	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	MARVELD2	610572	Prelingual non-syndromic hearing loss and deafness	610153	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	MYO15A	602666	Prelingual non-syndromic hearing loss and deafness	600316	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	MYO3A	606808	Prelingual non-syndromic hearing loss and deafness	607101	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	MYO6	600970	Prelingual non-syndromic hearing loss and deafness	606346	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	OTOA	607038	Prelingual non-syndromic hearing loss and deafness	607039	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	OTOG	604487	Prelingual non-syndromic hearing loss and deafness	614945	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	OTOGL	614925	Prelingual non-syndromic hearing loss and deafness	614944	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	PDZD7	612971	Prelingual non-syndromic hearing loss and deafness	618003	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	POU3F4	300039	Prelingual non-syndromic hearing loss and deafness	304400	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	PTPRQ	603317	Prelingual non-syndromic hearing loss and deafness	613391	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	RDX	179410	Prelingual non-syndromic hearing loss and deafness	611022	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	S1PR2	605111	Prelingual non-syndromic hearing loss and deafness	610419	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	STRC	606440	Prelingual non-syndromic hearing loss and deafness	603720	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	TECTA	602574	Prelingual non-syndromic hearing loss and deafness	601543	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	TECTA	602574	Prelingual non-syndromic hearing loss and deafness	603629	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	TMC1	606706	Prelingual non-syndromic hearing loss and deafness	600974	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	TMIE	607237	Prelingual non-syndromic hearing loss and deafness	600971	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	TPRN	613354	Prelingual non-syndromic hearing loss and deafness	613307	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	TRIOBP	609761	Prelingual non-syndromic hearing loss and deafness	609823	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1018	/AC1018	Thu Oct 29 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:32:58 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1018	1.0.2	Thu, 12 Aug 2021 00:00:00 -0000	PJVK	610219	Prelingual non-syndromic hearing loss and deafness	610220	Released	Complete	Complete	Complete	Communication deficit	GroupA	Referral to multidisciplinary care team, as available, to facilitate communication development and discussion of other interventions (such as hearing aids, cochlear implants)	GroupA	1	3N	3	3B	10NB
AC1012	/AC1012	Tue Jul 09 00:00:00 UTC 2019	Wed, 19 Aug 2020 23:09:06 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1012	1.0.1	Wed, 19 Aug 2020 00:00:00 -0000	SPRED1	609291	Legius syndrome	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC1005	/AC1005	Thu Jan 30 00:00:00 UTC 2020	Fri, 14 May 2021 20:46:04 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1005	1.0.0	Fri, 14 May 2021 00:00:00 -0000	FGFR3	134934	Achondroplasia	(No paired disease(s) for gene)	Released	Failed	Incomplete	Incomplete		N/A		N/A					
AC1011	/AC1011	Wed Jun 03 21:28:49 UTC 2020	Wed, 17 Mar 2021 21:50:17 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1011	1.0.1	Wed, 17 Mar 2021 00:00:00 -0000	DHCR7	602858	Smith-Lemli-Optiz Syndrome	270400	Released	Complete	Complete	Complete	Impaired development	GroupA	Dietary cholesterol supplementation	GroupA	2	3C	3	0C	8CC
AC1011	/AC1011	Wed Jun 03 21:28:49 UTC 2020	Wed, 17 Mar 2021 21:50:17 -0000	Pak Christine	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1011	1.0.1	Wed, 17 Mar 2021 00:00:00 -0000	DHCR7	602858	Smith-Lemli-Optiz Syndrome	270400	Released	Complete	Complete	Complete	Impaired growth	GroupA	Dietary cholesterol supplementation	GroupA	1	3C	3	1N	8CN
AC1022	/AC1022	Sat Dec 26 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:37:31 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1022	1.0.1	Thu, 12 Aug 2021 00:00:00 -0000	CPT2	600650	Carnitine palmitoyltransferase II deficiency	255110	Released	Complete	Complete	Complete	Morbidity and mortality associated with metabolic decompensation	GroupA	Metabolic management (dietary management and illness protocols)	GroupA	2	2C	2	2C	8CC
AC1022	/AC1022	Sat Dec 26 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:37:31 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1022	1.0.1	Thu, 12 Aug 2021 00:00:00 -0000	CPT2	600650	Carnitine palmitoyltransferase II deficiency	600649	Released	Complete	Complete	Complete	Morbidity and mortality associated with metabolic decompensation	GroupA	Metabolic management (dietary management and illness protocols)	GroupA	2	2C	2	2C	8CC
AC1022	/AC1022	Sat Dec 26 00:00:00 UTC 2020	Thu, 12 Aug 2021 23:37:31 -0000	Jenkins Charisma	Pediatric	https://actionability.clinicalgenome.org/ac/Pediatric/api/sepio/doc/AC1022	1.0.1	Thu, 12 Aug 2021 00:00:00 -0000	CPT2	600650	Carnitine palmitoyltransferase II deficiency	608836	Released	Complete	Complete	Complete	Morbidity and mortality associated with metabolic decompensation	GroupA	Metabolic management (dietary management and illness protocols)	GroupA	2	2C	2	2C	8CC
