"ACADM","HGNC:89","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACADM&subject=","2016-08-22T16:04:53Z"
"ACADSB","HGNC:91","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACADSB&subject=","2016-08-22T17:45:39Z"
"ACADVL","HGNC:92","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACADVL&subject=","2016-08-22T17:45:40Z"
"ACD","HGNC:25070","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACD&subject=","2019-10-09T16:06:47Z"
"ACOX1","HGNC:119","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACOX1&subject=","2014-11-20T14:37:29Z"
"ACP5","HGNC:124","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACP5&subject=","2016-08-22T17:45:40Z"
"ACSF3","HGNC:27288","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACSF3&subject=","2016-08-22T17:45:41Z"
"ACSL4","HGNC:3571","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACSL4&subject=","2021-04-28T16:58:29Z"
"ACTA2","HGNC:130","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACTA2&subject=","2015-10-15T19:01:10Z"
"ACTB","HGNC:132","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACTB&subject=","2015-02-05T15:18:37Z"
"ACTC1","HGNC:143","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACTC1&subject=","2015-11-17T20:56:21Z"
"ACVRL1","HGNC:175","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACVRL1&subject=","2016-11-10T19:19:57Z"
"ADA2","HGNC:1839","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADA2&subject=","2016-08-22T17:46:58Z"
"ADAM9","HGNC:216","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADAM9&subject=","2014-12-11T15:52:06Z"
"ADAMTS13","HGNC:1366","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADAMTS13&subject=","2016-08-22T17:45:42Z"
"ADAMTS17","HGNC:17109","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADAMTS17&subject=","2016-08-22T17:45:43Z"
"ADAMTS18","HGNC:17110","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADAMTS18&subject=","2016-08-22T17:45:43Z"
"ADAMTS2","HGNC:218","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADAMTS2&subject=","2016-08-22T17:45:44Z"
"ADAMTSL2","HGNC:14631","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADAMTSL2&subject=","2016-08-22T17:45:45Z"
"ADGRG1","HGNC:4512","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADGRG1&subject=","2012-05-17T20:07:19Z"
"ADGRV1","HGNC:17416","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADGRV1&subject=","2021-08-23T16:03:40Z"
"ADNP","HGNC:15766","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADNP&subject=","2017-11-22T17:55:30Z"
"ADSL","HGNC:291","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ADSL&subject=","2015-11-06T04:36:44Z"
"AFF2","HGNC:3776","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AFF2&subject=","2020-12-08T17:30:05Z"
"AGA","HGNC:318","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AGA&subject=","2016-08-22T17:45:46Z"
"AGK","HGNC:21869","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AGK&subject=","2014-11-20T14:35:20Z"
"AGPAT2","HGNC:325","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AGPAT2&subject=","2016-08-22T17:45:46Z"
"AGRN","HGNC:329","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AGRN&subject=","2016-08-22T17:45:47Z"
"AGT","HGNC:333","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AGT&subject=","2014-11-13T15:04:16Z"
"AGTR2","HGNC:338","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AGTR2&subject=","2012-05-10T13:30:11Z"
"AGXT","HGNC:341","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AGXT&subject=","2016-08-22T17:45:48Z"
"AHCY","HGNC:343","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AHCY&subject=","2016-06-08T14:14:30Z"
"AHDC1","HGNC:25230","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AHDC1&subject=","2018-02-28T17:31:33Z"
"AHI1","HGNC:21575","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AHI1&subject=","2012-09-06T18:47:00Z"
"AICDA","HGNC:13203","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AICDA&subject=","2016-08-22T17:45:48Z"
"AIMP1","HGNC:10648","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AIMP1&subject=","2016-08-22T17:45:49Z"
"AKT2","HGNC:392","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AKT2&subject=","2015-05-07T13:10:30Z"
"AKT3","HGNC:393","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AKT3&subject=","2016-04-15T02:27:48Z"
"ALAD","HGNC:395","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALAD&subject=","2016-08-22T17:45:50Z"
"ALDH1A3","HGNC:409","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALDH1A3&subject=","2016-08-22T17:45:51Z"
"ALDH3A2","HGNC:403","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALDH3A2&subject=","2016-08-22T17:45:52Z"
"ALDH4A1","HGNC:406","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALDH4A1&subject=","2015-04-09T15:35:34Z"
"ALDH5A1","HGNC:408","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALDH5A1&subject=","2016-08-22T17:45:53Z"
"ALDOA","HGNC:414","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALDOA&subject=","2016-08-22T17:45:54Z"
"ALG1","HGNC:18294","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALG1&subject=","2016-08-22T17:45:54Z"
"ALG12","HGNC:19358","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALG12&subject=","2016-08-22T17:45:55Z"
"ALG2","HGNC:23159","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALG2&subject=","2016-08-22T17:45:56Z"
"ALG6","HGNC:23157","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALG6&subject=","2016-08-22T17:45:57Z"
"ALK","HGNC:427","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALK&subject=","2019-12-20T21:01:09Z"
"ALMS1","HGNC:428","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALMS1&subject=","2016-08-22T17:45:58Z"
"ALS2","HGNC:443","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALS2&subject=","2016-08-22T17:45:58Z"
"ALX4","HGNC:450","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALX4&subject=","2020-07-22T17:39:04Z"
"AMH","HGNC:464","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AMH&subject=","2016-08-22T17:45:59Z"
"AMN","HGNC:14604","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AMN&subject=","2016-08-22T17:46:00Z"
"ANGPTL3","HGNC:491","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ANGPTL3&subject=","2016-08-22T17:46:01Z"
"ANK2","HGNC:493","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ANK2&subject=","2019-05-22T16:14:54Z"
"ANKRD11","HGNC:21316","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ANKRD11&subject=","2013-06-20T19:28:10Z"
"ANKRD26","HGNC:29186","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ANKRD26&subject=","2021-04-14T16:22:24Z"
"ANKS6","HGNC:26724","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ANKS6&subject=","2016-08-22T17:46:02Z"
"ANOS1","HGNC:6211","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ANOS1&subject=","2021-05-26T17:04:49Z"
"ANTXR2","HGNC:21732","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ANTXR2&subject=","2016-08-22T17:46:03Z"
"AP1S2","HGNC:560","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AP1S2&subject=","2021-04-28T16:13:16Z"
"AP4B1","HGNC:572","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AP4B1&subject=","2016-08-22T17:46:04Z"
"AP4S1","HGNC:575","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AP4S1&subject=","2016-08-22T17:46:05Z"
"APC","HGNC:583","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=APC&subject=","2021-07-19T02:10:32Z"
"APOB","HGNC:603","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=APOB&subject=","2020-04-09T20:59:06Z"
"APOC2","HGNC:609","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=APOC2&subject=","2016-08-22T17:46:06Z"
"APP","HGNC:620","No Evidence for Haploinsufficiency","Emerging Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=APP&subject=","2012-07-06T21:00:28Z"
"AR","HGNC:644","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AR&subject=","2020-12-08T17:09:48Z"
"ARCN1","HGNC:649","Emerging Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARCN1&subject=","2017-08-08T19:17:18Z"
"ARFGEF2","HGNC:15853","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARFGEF2&subject=","2016-08-22T17:46:06Z"
"ARG1","HGNC:663","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARG1&subject=","2016-08-22T17:46:07Z"
"ARHGAP31","HGNC:29216","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARHGAP31&subject=","2013-07-18T14:48:17Z"
"ARHGEF4","HGNC:684","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARHGEF4&subject=","2018-04-05T18:17:22Z"
"ARHGEF6","HGNC:685","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARHGEF6&subject=","2012-04-25T19:40:11Z"
"ARHGEF9","HGNC:14561","Emerging Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARHGEF9&subject=","2012-10-12T13:22:43Z"
"ARID1A","HGNC:11110","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARID1A&subject=","2020-05-27T16:53:48Z"
"ARID1B","HGNC:18040","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARID1B&subject=","2021-05-26T16:28:52Z"
"ARID2","HGNC:18037","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARID2&subject=","2019-06-26T16:51:18Z"
"ARL6","HGNC:13210","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARL6&subject=","2016-08-22T17:46:08Z"
"ARL6IP1","HGNC:697","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARL6IP1&subject=","2016-08-22T17:46:09Z"
"ARSA","HGNC:713","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARSA&subject=","2012-09-05T14:38:59Z"
"ARSD","HGNC:717","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARSD&subject=","2016-07-21T21:14:39Z"
"ARSL","HGNC:719","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARSL&subject=","2012-07-12T19:08:24Z"
"ARX","HGNC:18060","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ARX&subject=","2019-12-05T15:51:07Z"
"ASAH1","HGNC:735","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ASAH1&subject=","2017-09-12T01:02:04Z"
"ASH1L","HGNC:19088","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ASH1L&subject=","2017-12-27T17:05:55Z"
"ASL","HGNC:746","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ASL&subject=","2016-08-22T17:46:10Z"
"ASPA","HGNC:756","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ASPA&subject=","2016-08-22T17:46:12Z"
"ASPH","HGNC:757","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ASPH&subject=","2016-08-22T17:46:12Z"
"ASPM","HGNC:19048","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ASPM&subject=","2016-08-22T17:46:13Z"
"ASTN2","HGNC:17021","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ASTN2&subject=","2021-03-09T17:57:18Z"
"ASXL1","HGNC:18318","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ASXL1&subject=","2013-03-14T19:15:48Z"
"ASXL2","HGNC:23805","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ASXL2&subject=","2018-06-28T13:53:56Z"
"ASXL3","HGNC:29357","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ASXL3&subject=","2017-11-22T17:58:47Z"
"ATCAY","HGNC:779","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATCAY&subject=","2016-08-22T17:46:14Z"
"ATF6","HGNC:791","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATF6&subject=","2017-01-12T19:47:53Z"
"ATM","HGNC:795","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATM&subject=","2020-04-08T17:01:25Z"
"ATP10A","HGNC:13542","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP10A&subject=","2012-04-25T01:41:07Z"
"ATP13A2","HGNC:30213","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP13A2&subject=","2016-08-22T17:46:14Z"
"ATP2A1","HGNC:811","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP2A1&subject=","2016-08-22T17:46:15Z"
"ATP2C2","HGNC:29103","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP2C2&subject=","2018-09-17T17:53:59Z"
"ATP6AP2","HGNC:18305","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP6AP2&subject=","2012-10-31T18:37:06Z"
"ATP6V0A2","HGNC:18481","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP6V0A2&subject=","2016-08-22T17:46:16Z"
"ATP6V0A4","HGNC:866","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP6V0A4&subject=","2016-08-22T17:46:16Z"
"ATP6V1E1","HGNC:857","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP6V1E1&subject=","2012-04-26T22:40:17Z"
"ATP7A","HGNC:869","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP7A&subject=","2021-03-24T16:30:24Z"
"ATP7B","HGNC:870","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP7B&subject=","2017-01-12T17:15:09Z"
"ATP8A2","HGNC:13533","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP8A2&subject=","2014-10-10T21:36:48Z"
"ATPAF2","HGNC:18802","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATPAF2&subject=","2016-08-22T17:46:17Z"
"ATR","HGNC:882","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATR&subject=","2020-06-05T20:24:49Z"
"ATRX","HGNC:886","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATRX&subject=","2012-07-31T20:43:57Z"
"AUTS2","HGNC:14262","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AUTS2&subject=","2020-06-24T16:20:48Z"
"AVPR2","HGNC:897","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AVPR2&subject=","2021-02-01T17:25:21Z"
"AXIN2","HGNC:904","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=AXIN2&subject=","2019-02-13T18:02:15Z"
"B3GALNT2","HGNC:28596","Gene Associated with Autosomal Recessive Phenotype","","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=B3GALNT2&subject=","2016-08-22T17:46:20Z"
"B3GALT6","HGNC:17978","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=B3GALT6&subject=","2016-08-22T17:46:21Z"
"B4GALT1","HGNC:924","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=B4GALT1&subject=","2016-08-22T17:46:21Z"
