# blastn
# Iteration: 0
# Query: Forward_AF013254.1
# RID: XGYK6RVT114
# Database: n/a
# 527 hits found
query acc.ver	subject acc.ver	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score
Forward_AF013254.1	MW020596.1	100.000	8	0	0	4	11	13339	13346	780	16.4
Forward_AF013254.1	MW020595.1	95.000	20	1	0	1	20	1838	1857	0.013	32.2
Forward_AF013254.1	MW020595.1	100.000	8	0	0	11	18	254	247	780	16.4
Forward_AF013254.1	MW020595.1	100.000	8	0	0	4	11	2618	2611	780	16.4
Forward_AF013254.1	MW020595.1	100.000	8	0	0	4	11	2805	2812	780	16.4
Forward_AF013254.1	MW020595.1	100.000	8	0	0	1	8	3321	3328	780	16.4
Forward_AF013254.1	MW020595.1	100.000	8	0	0	3	10	6282	6289	780	16.4
Forward_AF013254.1	MW020595.1	100.000	8	0	0	1	8	11453	11460	780	16.4
Forward_AF013254.1	MW033958.1	95.000	20	1	0	1	20	1882	1901	0.013	32.2
Forward_AF013254.1	MW033958.1	100.000	8	0	0	4	11	2661	2654	780	16.4
Forward_AF013254.1	MW033958.1	100.000	8	0	0	4	11	13381	13388	780	16.4
Forward_AF013254.1	MZ151857.1	95.000	20	1	0	1	20	1787	1806	0.013	32.2
Forward_AF013254.1	MZ151857.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MZ151857.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MZ151857.1	100.000	8	0	0	4	11	2754	2761	780	16.4
Forward_AF013254.1	MZ151857.1	100.000	8	0	0	1	8	3271	3278	780	16.4
Forward_AF013254.1	MZ151857.1	100.000	8	0	0	3	10	6172	6179	780	16.4
Forward_AF013254.1	MZ151856.1	95.000	20	1	0	1	20	1787	1806	0.013	32.2
Forward_AF013254.1	MZ151856.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MZ151856.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MZ151856.1	100.000	8	0	0	4	11	2754	2761	780	16.4
Forward_AF013254.1	MZ151856.1	100.000	8	0	0	1	8	3271	3278	780	16.4
Forward_AF013254.1	MZ151856.1	100.000	8	0	0	3	10	6232	6239	780	16.4
Forward_AF013254.1	MZ151856.1	100.000	8	0	0	1	8	11403	11410	780	16.4
Forward_AF013254.1	MZ151855.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MZ151855.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MZ151855.1	100.000	8	0	0	4	11	4221	4214	780	16.4
Forward_AF013254.1	MZ151855.1	100.000	8	0	0	1	8	11403	11410	780	16.4
Forward_AF013254.1	MZ151855.1	100.000	8	0	0	4	11	13286	13293	780	16.4
Forward_AF013254.1	MZ151854.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MZ151854.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MZ151854.1	100.000	8	0	0	4	11	4221	4214	780	16.4
Forward_AF013254.1	MZ151854.1	100.000	8	0	0	1	8	11403	11410	780	16.4
Forward_AF013254.1	MZ151854.1	100.000	8	0	0	4	11	13286	13293	780	16.4
Forward_AF013254.1	MZ151853.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MZ151853.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MZ151853.1	100.000	8	0	0	4	11	13218	13225	780	16.4
Forward_AF013254.1	MZ151852.1	95.000	20	1	0	1	20	1788	1807	0.013	32.2
Forward_AF013254.1	MZ151852.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MZ151852.1	100.000	8	0	0	4	11	13290	13297	780	16.4
Forward_AF013254.1	MZ151851.1	95.000	20	1	0	1	20	1786	1805	0.013	32.2
Forward_AF013254.1	MZ151851.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MZ151851.1	100.000	8	0	0	4	11	2566	2559	780	16.4
Forward_AF013254.1	MZ151851.1	100.000	8	0	0	4	11	2753	2760	780	16.4
Forward_AF013254.1	MZ151851.1	100.000	8	0	0	1	8	3269	3276	780	16.4
Forward_AF013254.1	MZ151851.1	100.000	8	0	0	3	10	6230	6237	780	16.4
Forward_AF013254.1	MZ151851.1	100.000	8	0	0	1	8	11401	11408	780	16.4
Forward_AF013254.1	MZ151850.1	95.000	20	1	0	1	20	1787	1806	0.013	32.2
Forward_AF013254.1	MZ151850.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MZ151850.1	100.000	8	0	0	4	11	2567	2560	780	16.4
Forward_AF013254.1	MZ151850.1	100.000	8	0	0	4	11	2754	2761	780	16.4
Forward_AF013254.1	MZ151850.1	100.000	8	0	0	1	8	3270	3277	780	16.4
Forward_AF013254.1	MZ151850.1	100.000	8	0	0	3	10	6231	6238	780	16.4
Forward_AF013254.1	MZ151850.1	100.000	8	0	0	1	8	11402	11409	780	16.4
Forward_AF013254.1	MZ151849.1	95.000	20	1	0	1	20	1786	1805	0.013	32.2
Forward_AF013254.1	MZ151849.1	100.000	8	0	0	11	18	203	196	780	16.4
Forward_AF013254.1	MZ151849.1	100.000	8	0	0	4	11	2566	2559	780	16.4
Forward_AF013254.1	MZ151849.1	100.000	8	0	0	4	11	2753	2760	780	16.4
Forward_AF013254.1	MZ151849.1	100.000	8	0	0	1	8	3269	3276	780	16.4
Forward_AF013254.1	MZ151849.1	100.000	8	0	0	3	10	6230	6237	780	16.4
Forward_AF013254.1	MZ151849.1	100.000	8	0	0	1	8	11401	11408	780	16.4
Forward_AF013254.1	MZ516143.1	95.000	20	1	0	1	20	1885	1904	0.013	32.2
Forward_AF013254.1	MZ516143.1	100.000	8	0	0	11	18	301	294	780	16.4
Forward_AF013254.1	MZ516143.1	100.000	8	0	0	4	11	2665	2658	780	16.4
Forward_AF013254.1	MZ516143.1	100.000	8	0	0	4	11	2852	2859	780	16.4
Forward_AF013254.1	MZ516143.1	100.000	8	0	0	1	8	3368	3375	780	16.4
Forward_AF013254.1	MZ516143.1	100.000	8	0	0	3	10	6329	6336	780	16.4
Forward_AF013254.1	MZ516143.1	100.000	8	0	0	1	8	11500	11507	780	16.4
Forward_AF013254.1	MZ516142.1	95.000	20	1	0	1	20	1884	1903	0.013	32.2
Forward_AF013254.1	MZ516142.1	100.000	8	0	0	4	11	2663	2656	780	16.4
Forward_AF013254.1	MZ516142.1	100.000	8	0	0	4	11	4317	4310	780	16.4
Forward_AF013254.1	MZ516142.1	100.000	8	0	0	3	10	7512	7505	780	16.4
Forward_AF013254.1	MZ516142.1	100.000	8	0	0	4	11	13385	13392	780	16.4
Forward_AF013254.1	MZ516140.1	95.000	20	1	0	1	20	1885	1904	0.013	32.2
Forward_AF013254.1	MZ516140.1	100.000	8	0	0	11	18	301	294	780	16.4
Forward_AF013254.1	MZ516140.1	100.000	8	0	0	4	11	2665	2658	780	16.4
Forward_AF013254.1	MZ516140.1	100.000	8	0	0	4	11	2852	2859	780	16.4
Forward_AF013254.1	MZ516140.1	100.000	8	0	0	1	8	3368	3375	780	16.4
Forward_AF013254.1	MZ516140.1	100.000	8	0	0	3	10	6329	6336	780	16.4
Forward_AF013254.1	MZ516140.1	100.000	8	0	0	1	8	11500	11507	780	16.4
Forward_AF013254.1	MZ516139.1	95.000	20	1	0	1	20	1886	1905	0.013	32.2
Forward_AF013254.1	MZ516139.1	100.000	8	0	0	11	18	302	295	780	16.4
Forward_AF013254.1	MZ516139.1	100.000	8	0	0	4	11	2666	2659	780	16.4
Forward_AF013254.1	MZ516139.1	100.000	8	0	0	12	19	11377	11370	780	16.4
Forward_AF013254.1	MZ516139.1	100.000	8	0	0	4	11	2853	2860	780	16.4
Forward_AF013254.1	MZ516139.1	100.000	8	0	0	1	8	3369	3376	780	16.4
Forward_AF013254.1	MZ516139.1	100.000	8	0	0	3	10	6331	6338	780	16.4
Forward_AF013254.1	MZ516139.1	100.000	8	0	0	1	8	11502	11509	780	16.4
Forward_AF013254.1	MZ516138.1	95.000	20	1	0	1	20	1842	1861	0.013	32.2
Forward_AF013254.1	MZ516138.1	100.000	8	0	0	4	11	2621	2614	780	16.4
Forward_AF013254.1	MZ516138.1	100.000	8	0	0	4	11	13335	13342	780	16.4
Forward_AF013254.1	MZ516137.1	95.000	20	1	0	1	20	1886	1905	0.013	32.2
Forward_AF013254.1	MZ516137.1	100.000	8	0	0	4	11	2664	2657	780	16.4
Forward_AF013254.1	MZ516137.1	100.000	8	0	0	4	11	4318	4311	780	16.4
Forward_AF013254.1	MZ516137.1	100.000	8	0	0	1	8	11500	11507	780	16.4
Forward_AF013254.1	MZ516137.1	100.000	8	0	0	4	11	13383	13390	780	16.4
Forward_AF013254.1	MZ516137.1	100.000	8	0	0	7	14	14883	14890	780	16.4
Forward_AF013254.1	MZ516136.1	95.000	20	1	0	1	20	1841	1860	0.013	32.2
Forward_AF013254.1	MZ516136.1	100.000	8	0	0	11	18	257	250	780	16.4
Forward_AF013254.1	MZ516136.1	100.000	8	0	0	4	11	2621	2614	780	16.4
Forward_AF013254.1	MZ516136.1	100.000	8	0	0	4	11	2808	2815	780	16.4
Forward_AF013254.1	MZ516136.1	100.000	8	0	0	1	8	3324	3331	780	16.4
Forward_AF013254.1	MZ516136.1	100.000	8	0	0	3	10	6285	6292	780	16.4
Forward_AF013254.1	MZ516136.1	100.000	8	0	0	1	8	11456	11463	780	16.4
Forward_AF013254.1	MZ516135.1	95.000	20	1	0	1	20	1883	1902	0.013	32.2
Forward_AF013254.1	MZ516135.1	100.000	8	0	0	11	18	299	292	780	16.4
Forward_AF013254.1	MZ516135.1	100.000	8	0	0	4	11	2663	2656	780	16.4
Forward_AF013254.1	MZ516135.1	100.000	8	0	0	4	11	2850	2857	780	16.4
Forward_AF013254.1	MZ516135.1	100.000	8	0	0	1	8	3366	3373	780	16.4
Forward_AF013254.1	MZ516135.1	100.000	8	0	0	3	10	6327	6334	780	16.4
Forward_AF013254.1	MZ516135.1	100.000	8	0	0	1	8	11498	11505	780	16.4
Forward_AF013254.1	MZ516134.1	95.000	20	1	0	1	20	1886	1905	0.013	32.2
Forward_AF013254.1	MZ516134.1	100.000	8	0	0	4	11	2665	2658	780	16.4
Forward_AF013254.1	MZ516134.1	100.000	8	0	0	4	11	13384	13391	780	16.4
Forward_AF013254.1	MZ516133.1	95.000	20	1	0	1	20	1853	1872	0.013	32.2
Forward_AF013254.1	MZ516133.1	100.000	8	0	0	11	18	269	262	780	16.4
Forward_AF013254.1	MZ516133.1	100.000	8	0	0	4	11	2633	2626	780	16.4
Forward_AF013254.1	MZ516133.1	100.000	8	0	0	4	11	2820	2827	780	16.4
Forward_AF013254.1	MZ516133.1	100.000	8	0	0	1	8	3336	3343	780	16.4
Forward_AF013254.1	MZ516132.1	95.000	20	1	0	1	20	1883	1902	0.013	32.2
Forward_AF013254.1	MZ516132.1	100.000	8	0	0	4	11	2662	2655	780	16.4
Forward_AF013254.1	MZ516132.1	100.000	8	0	0	6	13	7478	7485	780	16.4
Forward_AF013254.1	MZ516132.1	100.000	8	0	0	1	8	11499	11506	780	16.4
Forward_AF013254.1	MZ516132.1	100.000	8	0	0	4	11	13382	13389	780	16.4
Forward_AF013254.1	MZ516131.1	95.000	20	1	0	1	20	1886	1905	0.013	32.2
Forward_AF013254.1	MZ516131.1	100.000	8	0	0	4	11	2665	2658	780	16.4
Forward_AF013254.1	MZ516131.1	100.000	8	0	0	4	11	13377	13384	780	16.4
Forward_AF013254.1	MZ516130.1	95.000	20	1	0	1	20	1884	1903	0.013	32.2
Forward_AF013254.1	MZ516130.1	100.000	8	0	0	4	11	2663	2656	780	16.4
Forward_AF013254.1	MZ516130.1	100.000	8	0	0	4	11	4317	4310	780	16.4
Forward_AF013254.1	MZ516130.1	100.000	8	0	0	1	8	11499	11506	780	16.4
Forward_AF013254.1	MZ516130.1	100.000	8	0	0	4	11	13382	13389	780	16.4
Forward_AF013254.1	MZ516129.1	95.000	20	1	0	1	20	1883	1902	0.013	32.2
Forward_AF013254.1	MZ516129.1	100.000	8	0	0	4	11	2662	2655	780	16.4
Forward_AF013254.1	MZ516129.1	100.000	8	0	0	4	11	13380	13387	780	16.4
Forward_AF013254.1	MZ516128.1	95.000	20	1	0	1	20	1886	1905	0.013	32.2
Forward_AF013254.1	MZ516128.1	100.000	8	0	0	4	11	2665	2658	780	16.4
Forward_AF013254.1	MZ516128.1	100.000	8	0	0	4	11	13358	13365	780	16.4
Forward_AF013254.1	MZ516127.1	95.000	20	1	0	1	20	1883	1902	0.013	32.2
Forward_AF013254.1	MZ516127.1	100.000	9	0	0	3	11	13870	13878	197	18.3
Forward_AF013254.1	MZ516127.1	100.000	8	0	0	4	11	2662	2655	780	16.4
Forward_AF013254.1	MZ516127.1	100.000	8	0	0	4	11	4318	4311	780	16.4
Forward_AF013254.1	MZ516127.1	100.000	8	0	0	4	11	13381	13388	780	16.4
Forward_AF013254.1	MZ516125.1	95.000	20	1	0	1	20	1885	1904	0.013	32.2
Forward_AF013254.1	MZ516125.1	100.000	8	0	0	11	18	301	294	780	16.4
Forward_AF013254.1	MZ516125.1	100.000	8	0	0	4	11	2665	2658	780	16.4
Forward_AF013254.1	MZ516125.1	100.000	8	0	0	4	11	2852	2859	780	16.4
Forward_AF013254.1	MZ516125.1	100.000	8	0	0	1	8	3368	3375	780	16.4
Forward_AF013254.1	MZ516125.1	100.000	8	0	0	3	10	6329	6336	780	16.4
Forward_AF013254.1	MZ516125.1	100.000	8	0	0	1	8	11500	11507	780	16.4
Forward_AF013254.1	MZ516124.1	95.000	20	1	0	1	20	1886	1905	0.013	32.2
Forward_AF013254.1	MZ516124.1	100.000	8	0	0	4	11	2665	2658	780	16.4
Forward_AF013254.1	MZ516124.1	100.000	8	0	0	4	11	13388	13395	780	16.4
Forward_AF013254.1	MZ516124.1	100.000	8	0	0	6	13	14887	14894	780	16.4
Forward_AF013254.1	MZ516123.1	95.000	20	1	0	1	20	1885	1904	0.013	32.2
Forward_AF013254.1	MZ516123.1	100.000	8	0	0	11	18	301	294	780	16.4
Forward_AF013254.1	MZ516123.1	100.000	8	0	0	4	11	2665	2658	780	16.4
Forward_AF013254.1	MZ516123.1	100.000	8	0	0	12	19	11375	11368	780	16.4
Forward_AF013254.1	MZ516123.1	100.000	8	0	0	4	11	2852	2859	780	16.4
Forward_AF013254.1	MZ516123.1	100.000	8	0	0	1	8	3368	3375	780	16.4
Forward_AF013254.1	MZ516123.1	100.000	8	0	0	3	10	6329	6336	780	16.4
Forward_AF013254.1	MZ516123.1	100.000	8	0	0	1	8	11500	11507	780	16.4
Forward_AF013254.1	MZ516122.1	95.000	20	1	0	1	20	1885	1904	0.013	32.2
Forward_AF013254.1	MZ516122.1	100.000	8	0	0	11	18	301	294	780	16.4
Forward_AF013254.1	MZ516122.1	100.000	8	0	0	4	11	2665	2658	780	16.4
Forward_AF013254.1	MZ516122.1	100.000	8	0	0	4	11	2852	2859	780	16.4
Forward_AF013254.1	MZ516122.1	100.000	8	0	0	1	8	3368	3375	780	16.4
Forward_AF013254.1	MZ516122.1	100.000	8	0	0	3	10	6330	6337	780	16.4
Forward_AF013254.1	MZ516122.1	100.000	8	0	0	1	8	11501	11508	780	16.4
Forward_AF013254.1	MZ516121.1	95.000	20	1	0	1	20	1841	1860	0.013	32.2
Forward_AF013254.1	MZ516121.1	100.000	8	0	0	11	18	257	250	780	16.4
Forward_AF013254.1	MZ516121.1	100.000	8	0	0	4	11	2621	2614	780	16.4
Forward_AF013254.1	MZ516121.1	100.000	8	0	0	12	19	11331	11324	780	16.4
Forward_AF013254.1	MZ516121.1	100.000	8	0	0	4	11	2808	2815	780	16.4
Forward_AF013254.1	MZ516121.1	100.000	8	0	0	1	8	3324	3331	780	16.4
Forward_AF013254.1	MZ516121.1	100.000	8	0	0	3	10	6286	6293	780	16.4
