Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MW620490,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,11931-May19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-05,,"Human respiratory syncytial virus A isolate 11931-May19 attachment glycoprotein (G) gene, partial cds"
MW620491,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,11933-May19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-05,,"Human respiratory syncytial virus A isolate 11933-May19 attachment glycoprotein (G) gene, partial cds"
MW620492,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,12073-A-May18_severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-05,,"Human respiratory syncytial virus A isolate 12073-A-May18_severe attachment glycoprotein (G) gene, partial cds"
MW620493,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,12623-A-May18_severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-05,,"Human respiratory syncytial virus A isolate 12623-A-May18_severe attachment glycoprotein (G) gene, partial cds"
MW620494,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,12715-Jun19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 12715-Jun19 attachment glycoprotein (G) gene, partial cds"
MW620495,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,12726-Jun19-severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 12726-Jun19-severe attachment glycoprotein (G) gene, partial cds"
MW620496,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,13061-Jun19-severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 13061-Jun19-severe attachment glycoprotein (G) gene, partial cds"
MW620497,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,13185-Jun19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 13185-Jun19 attachment glycoprotein (G) gene, partial cds"
MW620498,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,13190-Jun19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 13190-Jun19 attachment glycoprotein (G) gene, partial cds"
MW620499,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,13234-A-May18_severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-05,,"Human respiratory syncytial virus A isolate 13234-A-May18_severe attachment glycoprotein (G) gene, partial cds"
MW620500,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,13709-Jun19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 13709-Jun19 attachment glycoprotein (G) gene, partial cds"
MW620501,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,13710-Jun19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 13710-Jun19 attachment glycoprotein (G) gene, partial cds"
MW620502,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,13732-Jun19-severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 13732-Jun19-severe attachment glycoprotein (G) gene, partial cds"
MW620503,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,13735-A-May18_severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-05,,"Human respiratory syncytial virus A isolate 13735-A-May18_severe attachment glycoprotein (G) gene, partial cds"
MW620504,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,13751-Jun19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 13751-Jun19 attachment glycoprotein (G) gene, partial cds"
MW620505,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,13881-Jun19-severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 13881-Jun19-severe attachment glycoprotein (G) gene, partial cds"
MW620506,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,14005-Jun19-severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 14005-Jun19-severe attachment glycoprotein (G) gene, partial cds"
MW620507,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,14006-Jun19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 14006-Jun19 attachment glycoprotein (G) gene, partial cds"
MW620508,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,14035-Jun19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 14035-Jun19 attachment glycoprotein (G) gene, partial cds"
MW620509,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,14192-A-May18_severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-05,,"Human respiratory syncytial virus A isolate 14192-A-May18_severe attachment glycoprotein (G) gene, partial cds"
MW620510,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,14540-Jun19-severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 14540-Jun19-severe attachment glycoprotein (G) gene, partial cds"
MW620511,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,14552-Jun19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 14552-Jun19 attachment glycoprotein (G) gene, partial cds"
MW620512,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,14566-Jun19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 14566-Jun19 attachment glycoprotein (G) gene, partial cds"
MW620513,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,14679-Jun19-severe,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-06,,"Human respiratory syncytial virus A isolate 14679-Jun19-severe attachment glycoprotein (G) gene, partial cds"
MW620514,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,14942-A-May18,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-05,,"Human respiratory syncytial virus A isolate 14942-A-May18 attachment glycoprotein (G) gene, partial cds"
MW620515,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,15104-A-Jun18,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-06,,"Human respiratory syncytial virus A isolate 15104-A-Jun18 attachment glycoprotein (G) gene, partial cds"
MW620516,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,15131-A-Jun18,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-06,,"Human respiratory syncytial virus A isolate 15131-A-Jun18 attachment glycoprotein (G) gene, partial cds"
MW620517,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,15145-A-Jun18,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-06,,"Human respiratory syncytial virus A isolate 15145-A-Jun18 attachment glycoprotein (G) gene, partial cds"
MW620518,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,15167-Jul19,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2019-07,,"Human respiratory syncytial virus A isolate 15167-Jul19 attachment glycoprotein (G) gene, partial cds"
MW620519,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,15364-A-Jun18,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-06,,"Human respiratory syncytial virus A isolate 15364-A-Jun18 attachment glycoprotein (G) gene, partial cds"
MW620520,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,15364-A-Jun18-b,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-06,,"Human respiratory syncytial virus A isolate 15364-A-Jun18-b attachment glycoprotein (G) gene, partial cds"
MW620521,,"Anderson,J., Oeum,M., Verkolf,E., Licciardi,P.V., Mulholland,K., Nguyen,C., Chow,K., Waller,G., Costa,A.M., Daley,A., Crawford,N.W., Babl,F.E., Duke,T., Do,L.A.H., Wurzel,D., Mulholland,K.E., Costa,A.-M., Daley,A.J., Crawford,N., Babl,F.",2021-09-29T00:00:00Z,15476-A-Jun18,Human orthopneumovirus,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,GenBank,partial,,,1,Australia: Melbourne,Australia,,Homo sapiens,,2018-06,,"Human respiratory syncytial virus A isolate 15476-A-Jun18 attachment glycoprotein (G) gene, partial cds"
