seqName,errors,warnings,failedGenes
"MW620519.1 |Human respiratory syncytial virus A isolate 15364-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620520.1 |Human respiratory syncytial virus A isolate 15364-A-Jun18-b attachment glycoprotein (G) gene, partial cds","","",""
"MW620521.1 |Human respiratory syncytial virus A isolate 15476-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620522.1 |Human respiratory syncytial virus A isolate 15476-A-Jun18-b attachment glycoprotein (G) gene, partial cds","","",""
"MW620523.1 |Human respiratory syncytial virus A isolate 15715-Jul19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620525.1 |Human respiratory syncytial virus A isolate 15796-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620524.1 |Human respiratory syncytial virus A isolate 15731-Jul19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620526.1 |Human respiratory syncytial virus A isolate 15846-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620528.1 |Human respiratory syncytial virus A isolate 16061-A-Jun18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620527.1 |Human respiratory syncytial virus A isolate 16060-Jul19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620529.1 |Human respiratory syncytial virus A isolate 16083-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620530.1 |Human respiratory syncytial virus A isolate 16218-Jul19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620531.1 |Human respiratory syncytial virus A isolate 16276-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620512.1 |Human respiratory syncytial virus A isolate 14566-Jun19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620532.1 |Human respiratory syncytial virus A isolate 16379-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620533.1 |Human respiratory syncytial virus A isolate 16382-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620534.1 |Human respiratory syncytial virus A isolate 16415-Jul19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620535.1 |Human respiratory syncytial virus A isolate 1643-Jan20 attachment glycoprotein (G) gene, partial cds","","",""
"MW620539.1 |Human respiratory syncytial virus A isolate 16891-A-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620536.1 |Human respiratory syncytial virus A isolate 16503-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620537.1 |Human respiratory syncytial virus A isolate 16614-Jul19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620538.1 |Human respiratory syncytial virus A isolate 16841-Jul19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620541.1 |Human respiratory syncytial virus A isolate 17398-A-Jun18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620542.1 |Human respiratory syncytial virus A isolate 17400-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620543.1 |Human respiratory syncytial virus A isolate 17488-Jul19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620544.1 |Human respiratory syncytial virus A isolate 17556-A-Jun18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620545.1 |Human respiratory syncytial virus A isolate 17561-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620546.1 |Human respiratory syncytial virus A isolate 17627-Jul19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620547.1 |Human respiratory syncytial virus A isolate 17716-A-Jun18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620549.1 |Human respiratory syncytial virus A isolate 18176-A-Jul18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620550.1 |Human respiratory syncytial virus A isolate 18217-Aug19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620540.1 |Human respiratory syncytial virus A isolate 17218-A-Jun18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620551.1 |Human respiratory syncytial virus A isolate 18231-Aug19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620552.1 |Human respiratory syncytial virus A isolate 18244-Aug19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620553.1 |Human respiratory syncytial virus A isolate 1840-Jan20 attachment glycoprotein (G) gene, partial cds","","",""
"MW620554.1 |Human respiratory syncytial virus A isolate 18414-A-Jul18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620548.1 |Human respiratory syncytial virus A isolate 18116-A-Jul18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620555.1 |Human respiratory syncytial virus A isolate 18846-A-Jul18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620556.1 |Human respiratory syncytial virus A isolate 18900-A-Jul18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620558.1 |Human respiratory syncytial virus A isolate 19270-A-Jul18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620557.1 |Human respiratory syncytial virus A isolate 19099-A-Jul18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620559.1 |Human respiratory syncytial virus A isolate 19517-A-Jul18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620560.1 |Human respiratory syncytial virus A isolate 19568-A-Jul18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620561.1 |Human respiratory syncytial virus A isolate 19790-A-Jul18-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620563.1 |Human respiratory syncytial virus A isolate 19951-A-Jul18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620564.1 |Human respiratory syncytial virus A isolate 19994-Aug19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620565.1 |Human respiratory syncytial virus A isolate 20190-Aug19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620567.1 |Human respiratory syncytial virus A isolate 20522-A-Jul18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620568.1 |Human respiratory syncytial virus A isolate 20684-A-Jul18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620569.1 |Human respiratory syncytial virus A isolate 21106-Sep19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620570.1 |Human respiratory syncytial virus A isolate 21212-Sep19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620571.1 |Human respiratory syncytial virus A isolate 21305-A-Aug18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620572.1 |Human respiratory syncytial virus A isolate 21453-A-Aug18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620574.1 |Human respiratory syncytial virus A isolate 21686-A-Aug18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620573.1 |Human respiratory syncytial virus A isolate 21454-A-Aug18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620575.1 |Human respiratory syncytial virus A isolate 21741-A-Aug18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620566.1 |Human respiratory syncytial virus A isolate 20475-Aug19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620576.1 |Human respiratory syncytial virus A isolate 21858-A-Aug18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620577.1 |Human respiratory syncytial virus A isolate 22399-Sep19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620578.1 |Human respiratory syncytial virus A isolate 22473-Sep19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620579.1 |Human respiratory syncytial virus A isolate 22528-A-Aug18_severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620580.1 |Human respiratory syncytial virus A isolate 23071-Sep19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620581.1 |Human respiratory syncytial virus A isolate 23305-A-Aug18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620583.1 |Human respiratory syncytial virus A isolate 23434-Oct19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620582.1 |Human respiratory syncytial virus A isolate 23381-A-Aug18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620562.1 |Human respiratory syncytial virus A isolate 19804-A-Jul18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620584.1 |Human respiratory syncytial virus A isolate 23717-A-Sep18-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620585.1 |Human respiratory syncytial virus A isolate 24339-Oct19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620586.1 |Human respiratory syncytial virus A isolate 24431-A-Sep18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620590.1 |Human respiratory syncytial virus A isolate 2559-Mar20 attachment glycoprotein (G) gene, partial cds","","",""
"MW620587.1 |Human respiratory syncytial virus A isolate 24544-A-Sep18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620592.1 |Human respiratory syncytial virus A isolate 27252-A-Oct18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620589.1 |Human respiratory syncytial virus A isolate 25471-A-Sep18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620596.1 |Human respiratory syncytial virus A isolate 29868-A-Oct18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620593.1 |Human respiratory syncytial virus A isolate 27356-A-Oct18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620599.1 |Human respiratory syncytial virus A isolate 30439-A-Nov18-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620598.1 |Human respiratory syncytial virus A isolate 30385-A-Nov18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620601.1 |Human respiratory syncytial virus A isolate 31799-A-Nov18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620600.1 |Human respiratory syncytial virus A isolate 30790-A-Nov18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620597.1 |Human respiratory syncytial virus A isolate 30122-A-Oct18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620602.1 |Human respiratory syncytial virus A isolate 3261-Feb20 attachment glycoprotein (G) gene, partial cds","","",""
"MW620605.1 |Human respiratory syncytial virus A isolate 3963-A-Feb18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620608.1 |Human respiratory syncytial virus A isolate 4418-Feb20 attachment glycoprotein (G) gene, partial cds","","",""
"MW620604.1 |Human respiratory syncytial virus A isolate 34167-A-Dec18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620606.1 |Human respiratory syncytial virus A isolate 4074-Feb19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620611.1 |Human respiratory syncytial virus A isolate 560-Jan19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620612.1 |Human respiratory syncytial virus A isolate 6090-A-Mar18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620619.1 |Human respiratory syncytial virus A isolate 8137-Apr19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620622.1 |Human respiratory syncytial virus A isolate 8566-Apr19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620623.1 |Human respiratory syncytial virus A isolate 8614-Apr19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620616.1 |Human respiratory syncytial virus A isolate 7021-A-Mar18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620625.1 |Human respiratory syncytial virus A isolate 9270b-Apr19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620624.1 |Human respiratory syncytial virus A isolate 8749-Apr19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620613.1 |Human respiratory syncytial virus A isolate 61892-Nov20 attachment glycoprotein (G) gene, partial cds","","",""
"MW620626.1 |Human respiratory syncytial virus A isolate 9277-Apr19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620632.1 |Human respiratory syncytial virus A isolate 5823-A-Feb18-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620627.1 |Human respiratory syncytial virus A isolate 9750-Apr19-severe attachment glycoprotein (G) gene, partial cds","","",""
"MW620628.1 |Human respiratory syncytial virus A isolate 9775-A-Apr18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620633.1 |Human respiratory syncytial virus A isolate 8754-A-Mar18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620635.1 |Human respiratory syncytial virus A isolate 17627-Jul19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620641.1 |Human respiratory syncytial virus B isolate 10642-B-Apr18-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620636.1 |Human respiratory syncytial virus A isolate 18122-B-Jul18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620642.1 |Human respiratory syncytial virus B isolate 11074-B-May19 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620643.1 |Human respiratory syncytial virus B isolate 11255-B-Apr18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620645.1 |Human respiratory syncytial virus B isolate 11510-May19-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620644.1 |Human respiratory syncytial virus B isolate 11381-May19 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620646.1 |Human respiratory syncytial virus B isolate 11599b-May19 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620647.1 |Human respiratory syncytial virus B isolate 11599-May19 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620648.1 |Human respiratory syncytial virus B isolate 11617-B-Apr18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620649.1 |Human respiratory syncytial virus B isolate 11826-May19 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620650.1 |Human respiratory syncytial virus B isolate 11985-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620652.1 |Human respiratory syncytial virus B isolate 12275-B-May18-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620653.1 |Human respiratory syncytial virus B isolate 12326-May19 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620654.1 |Human respiratory syncytial virus B isolate 12375-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620655.1 |Human respiratory syncytial virus B isolate 12521-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620656.1 |Human respiratory syncytial virus B isolate 12711-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620657.1 |Human respiratory syncytial virus B isolate 12716-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620637.1 |Human respiratory syncytial virus A isolate 13473-B-May18 attachment glycoprotein (G) gene, partial cds","","",""
"MW620658.1 |Human respiratory syncytial virus B isolate 12854-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620659.1 |Human respiratory syncytial virus B isolate 12907-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620660.1 |Human respiratory syncytial virus B isolate 13027-Jun19-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620661.1 |Human respiratory syncytial virus B isolate 13035-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620662.1 |Human respiratory syncytial virus B isolate 13617-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620663.1 |Human respiratory syncytial virus B isolate 13683-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620664.1 |Human respiratory syncytial virus B isolate 13741-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620665.1 |Human respiratory syncytial virus B isolate 13770-Jun19 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620666.1 |Human respiratory syncytial virus B isolate 14004-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620667.1 |Human respiratory syncytial virus B isolate 14057-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620668.1 |Human respiratory syncytial virus B isolate 14338-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620669.1 |Human respiratory syncytial virus B isolate 14401-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620670.1 |Human respiratory syncytial virus B isolate 14638-B-May18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620671.1 |Human respiratory syncytial virus B isolate 14810-Jun19-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620672.1 |Human respiratory syncytial virus B isolate 14913-B-May18-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620673.1 |Human respiratory syncytial virus B isolate 14918-Jun19-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620674.1 |Human respiratory syncytial virus B isolate 14959-Jun19-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620675.1 |Human respiratory syncytial virus B isolate 15118-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620677.1 |Human respiratory syncytial virus B isolate 15362-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620678.1 |Human respiratory syncytial virus B isolate 15468-B-Jun18-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620679.1 |Human respiratory syncytial virus B isolate 15471-B-Jun18-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620680.1 |Human respiratory syncytial virus B isolate 15480-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620681.1 |Human respiratory syncytial virus B isolate 15723-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620682.1 |Human respiratory syncytial virus B isolate 15785-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620683.1 |Human respiratory syncytial virus B isolate 15855-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620684.1 |Human respiratory syncytial virus B isolate 15866-Jul19 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620685.1 |Human respiratory syncytial virus B isolate 15874-Jul19-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620686.1 |Human respiratory syncytial virus B isolate 15975-B-Jun18-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620687.1 |Human respiratory syncytial virus B isolate 16064-B-Jun18-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620688.1 |Human respiratory syncytial virus B isolate 16190-Jul19 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620689.1 |Human respiratory syncytial virus B isolate 16210-Jul19-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620690.1 |Human respiratory syncytial virus B isolate 16376-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620691.1 |Human respiratory syncytial virus B isolate 16377-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620692.1 |Human respiratory syncytial virus B isolate 16377-B-Jun18-b attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620694.1 |Human respiratory syncytial virus B isolate 16672-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620696.1 |Human respiratory syncytial virus B isolate 16766-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620698.1 |Human respiratory syncytial virus B isolate 16851-Jul19 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620699.1 |Human respiratory syncytial virus B isolate 16858-Jul19-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620634.1 |Human respiratory syncytial virus A isolate 16005-Jul19 attachment glycoprotein (G) gene, partial cds","","",""
"MW620700.1 |Human respiratory syncytial virus B isolate 16893-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620701.1 |Human respiratory syncytial virus B isolate 17077-B-Jun18-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620702.1 |Human respiratory syncytial virus B isolate 17174-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620703.1 |Human respiratory syncytial virus B isolate 17290-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620704.1 |Human respiratory syncytial virus B isolate 17342-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620706.1 |Human respiratory syncytial virus B isolate 17424-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620705.1 |Human respiratory syncytial virus B isolate 17414-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620707.1 |Human respiratory syncytial virus B isolate 17565-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620709.1 |Human respiratory syncytial virus B isolate 17717-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620710.1 |Human respiratory syncytial virus B isolate 17798-B-June18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620708.1 |Human respiratory syncytial virus B isolate 17626-Jul19-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620712.1 |Human respiratory syncytial virus B isolate 17891-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620711.1 |Human respiratory syncytial virus B isolate 17803-B-Jun18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620713.1 |Human respiratory syncytial virus B isolate 17898-B-Jun18-severe attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620714.1 |Human respiratory syncytial virus B isolate 18121-B-Jul18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
"MW620715.1 |Human respiratory syncytial virus B isolate 18325-B-Jul18 attachment glycoprotein (G) gene, partial cds","Unable to align: no seed matches","","<<ALL>>"
