Disease	Gene symbol	Inheritance	Inheritance detail	OMIM_ID	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	UniProt	Ensembl	OMIM	GWAS	omni	gnomAD r2 GRCh37	gnomAD r3 GRCh38	pdb	HGNC	ORPHA	HPO	AmiGo	Alpha Fold	Gemma	ClinGen
DNA PKcs deficiency	PRKDC	AR	NA	176977	Very low	Very low	Variable	Normal	NA	Radiation sensitive	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403	uniprot.org/PRKDC	ensembl.org/PRKDC	omim.org/PRKDC	GWAS/PRKDC	omni/PRKDC	gnomad.org/r2PRKDC	gnomad.org/r3PRKDC	rcsb.org/PRKDC	genenames.org/PRKDC	hpo/ORPHA/PRKDC	hpo.jax.org/PRKDC	amigo.org/PRKDC	alphafold/PRKDC	gemma/PRKDC	clinicalgenome.org/PRKDC
Activated RAC2 defect	RAC2	AD	GOF	602049	Very low	Very low	Low	Low	NA	Reticular dysgenesis	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.0	HP:0002715	HP:0005403	uniprot.org/RAC2	ensembl.org/RAC2	omim.org/RAC2	GWAS/RAC2	omni/RAC2	gnomad.org/r2RAC2	gnomad.org/r3RAC2	rcsb.org/RAC2	genenames.org/RAC2	hpo/ORPHA/RAC2	hpo.jax.org/RAC2	amigo.org/RAC2	alphafold/RAC2	gemma/RAC2	clinicalgenome.org/RAC2
RAG1 deficiency	RAG1	AR	NA	179615	Very low	Very low	Low	Normal	NA	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403	uniprot.org/RAG1	ensembl.org/RAG1	omim.org/RAG1	GWAS/RAG1	omni/RAG1	gnomad.org/r2RAG1	gnomad.org/r3RAG1	rcsb.org/RAG1	genenames.org/RAG1	hpo/ORPHA/RAG1	hpo.jax.org/RAG1	amigo.org/RAG1	alphafold/RAG1	gemma/RAG1	clinicalgenome.org/RAG1
RAG2 deficiency	RAG2	AR	NA	179616	Very low	Very low	Low	Normal	NA	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.1	HP:0002715	HP:0005403	uniprot.org/RAG2	ensembl.org/RAG2	omim.org/RAG2	GWAS/RAG2	omni/RAG2	gnomad.org/r2RAG2	gnomad.org/r3RAG2	rcsb.org/RAG2	genenames.org/RAG2	hpo/ORPHA/RAG2	hpo.jax.org/RAG2	amigo.org/RAG2	alphafold/RAG2	gemma/RAG2	clinicalgenome.org/RAG2
MHC class I deficiency	B2M	AR	NA	109700	Low CD8, Nl CD4, absent MHC I on lymphocytes	Normal	Normal	NA	NA	Sinopulmonary infections, cutaneous granulomas. Absent β2m associated proteins MHC-I, CD1a, CD1b, CD1c	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.6	HP:0002715	HP:0005403	uniprot.org/B2M	ensembl.org/B2M	omim.org/B2M	GWAS/B2M	omni/B2M	gnomad.org/r2B2M	gnomad.org/r3B2M	rcsb.org/B2M	genenames.org/B2M	hpo/ORPHA/B2M	hpo.jax.org/B2M	amigo.org/B2M	alphafold/B2M	gemma/B2M	clinicalgenome.org/B2M
BCL10 deficiency	BCL10	AR	NA	616098	Nl number, low memory T and Treg cells, poor antigen and anti-CD3 proliferation	Nl number, decreased memory and switched B cells	NA	NA	NA	Recurrent bacterial and viral infections, candidiasis, gastroenteritis	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/BCL10	ensembl.org/BCL10	omim.org/BCL10	GWAS/BCL10	omni/BCL10	gnomad.org/r2BCL10	gnomad.org/r3BCL10	rcsb.org/BCL10	genenames.org/BCL10	hpo/ORPHA/BCL10	hpo.jax.org/BCL10	amigo.org/BCL10	alphafold/BCL10	gemma/BCL10	clinicalgenome.org/BCL10
CARD11 deficiency LOF	CARD11	AR	NA	615206	Nl number, predominant naïve T-cells, poor proliferation	Normal, transitional B cell predominance	NA	NA	NA	Pneumocystis jirovecii pneumonia, bacterial and viral infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/CARD11	ensembl.org/CARD11	omim.org/CARD11	GWAS/CARD11	omni/CARD11	gnomad.org/r2CARD11	gnomad.org/r3CARD11	rcsb.org/CARD11	genenames.org/CARD11	hpo/ORPHA/CARD11	hpo.jax.org/CARD11	amigo.org/CARD11	alphafold/CARD11	gemma/CARD11	clinicalgenome.org/CARD11
CD3g deficiency	CD3G	AR	NA	186740	Nl number, but low TCR expression	Normal	Nl	NA	NA	NA	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/CD3G	ensembl.org/CD3G	omim.org/CD3G	GWAS/CD3G	omni/CD3G	gnomad.org/r2CD3G	gnomad.org/r3CD3G	rcsb.org/CD3G	genenames.org/CD3G	hpo/ORPHA/CD3G	hpo.jax.org/CD3G	amigo.org/CD3G	alphafold/CD3G	gemma/CD3G	clinicalgenome.org/CD3G
CD40 deficiency	CD40	AR	NA	109535	Normal	sIgM+, IgD+ cells present, absent sIgG+, IgA+ and IgE+ cells	IgM nl or high low IgG, IgA	Variable	NA	Thrombocytopenia, hemolytic anemia, opportunistic infections, biliary tract and liver disease, Cryptosporidium infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.05	D80.5	HP:0002715	HP:0005403	uniprot.org/CD40	ensembl.org/CD40	omim.org/CD40	GWAS/CD40	omni/CD40	gnomad.org/r2CD40	gnomad.org/r3CD40	rcsb.org/CD40	genenames.org/CD40	hpo/ORPHA/CD40	hpo.jax.org/CD40	amigo.org/CD40	alphafold/CD40	gemma/CD40	clinicalgenome.org/CD40
CD40 ligand deficiency CD154	CD40LG	XL	NA	300386	Nl to low	sIgM+, IgD+ cells present, absent sIgG+, IgA+ and IgE+ cells	IgM nl or high low IgG, IgA	Variable	NA	Thrombocytopenia, hemolytic anemia, opportunistic infections, biliary tract and liver disease, Cryptosporidium infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.05	D80.5	HP:0002715	HP:0005403	uniprot.org/CD40LG	ensembl.org/CD40LG	omim.org/CD40LG	GWAS/CD40LG	omni/CD40LG	gnomad.org/r2CD40LG	gnomad.org/r3CD40LG	rcsb.org/CD40LG	genenames.org/CD40LG	hpo/ORPHA/CD40LG	hpo.jax.org/CD40LG	amigo.org/CD40LG	alphafold/CD40LG	gemma/CD40LG	clinicalgenome.org/CD40LG
CD8 deficiency	CD8A	AR	NA	186910	Absent CD8, nl CD4	Normal	Nl	NA	NA	Recurrent infections, may be asymptomatic	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/CD8A	ensembl.org/CD8A	omim.org/CD8A	GWAS/CD8A	omni/CD8A	gnomad.org/r2CD8A	gnomad.org/r3CD8A	rcsb.org/CD8A	genenames.org/CD8A	hpo/ORPHA/CD8A	hpo.jax.org/CD8A	amigo.org/CD8A	alphafold/CD8A	gemma/CD8A	clinicalgenome.org/CD8A
CHUK deficiency	CHUK	AR	NA	NA	Normal T, NK cell numbers.  Accumulation of immature NK cells	B cell lymphopenia	Pan-hypogammaglobulinemia	NA	NA	Combined immunodeficiency, recurrent infections Staphylococcus aureus, mucocutaneous candidiasis, epidermodysplasia verruciformis due to HPV. Absent secondary lymphoid tissues, lymphocytic infiltration of intestine and liver. Skeletal abnormalities, failure to thrive.Normal T cell proliferation, reduced NK function	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	NA	NA	NA	NA	uniprot.org/CHUK	ensembl.org/CHUK	omim.org/CHUK	GWAS/CHUK	omni/CHUK	gnomad.org/r2CHUK	gnomad.org/r3CHUK	rcsb.org/CHUK	genenames.org/CHUK	hpo/ORPHA/CHUK	hpo.jax.org/CHUK	amigo.org/CHUK	alphafold/CHUK	gemma/CHUK	clinicalgenome.org/CHUK
MHC class II deficiency group A	CIITA	AR	NA	600005	Low CD4 cells Absent MHC II expression on lymphocytes   	Normal	Normal to low	NA	NA	Respiratory and gastrointestinal infections, liver/biliary tract disease	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.7	HP:0002715	HP:0005403	uniprot.org/CIITA	ensembl.org/CIITA	omim.org/CIITA	GWAS/CIITA	omni/CIITA	gnomad.org/r2CIITA	gnomad.org/r3CIITA	rcsb.org/CIITA	genenames.org/CIITA	hpo/ORPHA/CIITA	hpo.jax.org/CIITA	amigo.org/CIITA	alphafold/CIITA	gemma/CIITA	clinicalgenome.org/CIITA
COPG1 deficiency	COPG1	AR	NA	NA	T cell lymphopenia, mostly CD4	normal slightly reduced	near-normal levels of serum IgM, G, A • poor/absent Ig responses to vaccines	NA	NA	recurrent pneumonia, viral respiratory infections, bronchiectasis, chronic EBV, CMV viremia.  Failure to thrive impaired T and B cell function in vitro	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	NA	NA	NA	NA	uniprot.org/COPG1	ensembl.org/COPG1	omim.org/COPG1	GWAS/COPG1	omni/COPG1	gnomad.org/r2COPG1	gnomad.org/r3COPG1	rcsb.org/COPG1	genenames.org/COPG1	hpo/ORPHA/COPG1	hpo.jax.org/COPG1	amigo.org/COPG1	alphafold/COPG1	gemma/COPG1	clinicalgenome.org/COPG1
DOCK2 deficiency	DOCK2	AR	NA	603122	Low	Normal	Low	Normal	NA	Nl NK cells, but defective function. Poor interferon responses in hematopoietic and non-hematopoietic cells	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/DOCK2	ensembl.org/DOCK2	omim.org/DOCK2	GWAS/DOCK2	omni/DOCK2	gnomad.org/r2DOCK2	gnomad.org/r3DOCK2	rcsb.org/DOCK2	genenames.org/DOCK2	hpo/ORPHA/DOCK2	hpo.jax.org/DOCK2	amigo.org/DOCK2	alphafold/DOCK2	gemma/DOCK2	clinicalgenome.org/DOCK2
DOCK8 deficiency	DOCK8	AR	NA	243700	Low, poor proliferation, few, poorly functioning Treg	Low, low CD27+ memory B cells Poor peripheral B cell tolerance.	Low IgM, normal to high IgG and IgA, high IgE	NA	Low NK	Low NK cells with poor function, eosinophilia, recurrent infections, cutaneous viral, fungal and staphylococcal infections, severe atopy, cancer diathesis	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/DOCK8	ensembl.org/DOCK8	omim.org/DOCK8	GWAS/DOCK8	omni/DOCK8	gnomad.org/r2DOCK8	gnomad.org/r3DOCK8	rcsb.org/DOCK8	genenames.org/DOCK8	hpo/ORPHA/DOCK8	hpo.jax.org/DOCK8	amigo.org/DOCK8	alphafold/DOCK8	gemma/DOCK8	clinicalgenome.org/DOCK8
FCHO1 deficiency	FCHO1	AR	NA	613437	Low	Normal	Normal	NA	NA	Recurrent infections, lymphoproliferation, increased activation-induced T-cell death, defective clathrin-mediated endocytosis	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/FCHO1	ensembl.org/FCHO1	omim.org/FCHO1	GWAS/FCHO1	omni/FCHO1	gnomad.org/r2FCHO1	gnomad.org/r3FCHO1	rcsb.org/FCHO1	genenames.org/FCHO1	hpo/ORPHA/FCHO1	hpo.jax.org/FCHO1	amigo.org/FCHO1	alphafold/FCHO1	gemma/FCHO1	clinicalgenome.org/FCHO1
ICOS deficiency	ICOS	AR	NA	604558	Normal	Normal	Low	NA	NA	Recurrent infections, autoimmunity, gastroenteritis, granulomas	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279	D81.9	HP:0002715	HP:0005403	uniprot.org/ICOS	ensembl.org/ICOS	omim.org/ICOS	GWAS/ICOS	omni/ICOS	gnomad.org/r2ICOS	gnomad.org/r3ICOS	rcsb.org/ICOS	genenames.org/ICOS	hpo/ORPHA/ICOS	hpo.jax.org/ICOS	amigo.org/ICOS	alphafold/ICOS	gemma/ICOS	clinicalgenome.org/ICOS
ICOLG deficiency	ICOSLG	AR	NA	605717	Low	Low	Low	Low	NA	Recurrent bacterial and viral infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	NA	NA	HP:0002715	HP:0005403	uniprot.org/ICOSLG	ensembl.org/ICOSLG	omim.org/ICOSLG	GWAS/ICOSLG	omni/ICOSLG	gnomad.org/r2ICOSLG	gnomad.org/r3ICOSLG	rcsb.org/ICOSLG	genenames.org/ICOSLG	hpo/ORPHA/ICOSLG	hpo.jax.org/ICOSLG	amigo.org/ICOSLG	alphafold/ICOSLG	gemma/ICOSLG	clinicalgenome.org/ICOSLG
IKBKB deficiency	IKBKB	AR	NA	615592	Nl number, absent Treg and g/d T cells, impaired TCR activation	Nl number, poor function	NA	NA	NA	Recurrent bacterial, viral, fungal infections, opportunistic infections	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403	uniprot.org/IKBKB	ensembl.org/IKBKB	omim.org/IKBKB	GWAS/IKBKB	omni/IKBKB	gnomad.org/r2IKBKB	gnomad.org/r3IKBKB	rcsb.org/IKBKB	genenames.org/IKBKB	hpo/ORPHA/IKBKB	hpo.jax.org/IKBKB	amigo.org/IKBKB	alphafold/IKBKB	gemma/IKBKB	clinicalgenome.org/IKBKB
Ikaros deficiency	IKZF1	AD	DN	NA	No memory T cells	No memory B cells	Low	NA	NA	Recurrent sinopulmonary infections, pneumocystis early CID onset	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	NA	NA	HP:0002715	HP:0005403	uniprot.org/IKZF1	ensembl.org/IKZF1	omim.org/IKZF1	GWAS/IKZF1	omni/IKZF1	gnomad.org/r2IKZF1	gnomad.org/r3IKZF1	rcsb.org/IKZF1	genenames.org/IKZF1	hpo/ORPHA/IKZF1	hpo.jax.org/IKZF1	amigo.org/IKZF1	alphafold/IKZF1	gemma/IKZF1	clinicalgenome.org/IKZF1
IKZF2 deficiency	IKZF2	AD	NA	NA	Increased activated/ exhausted T cells. Increased  production pro-inflammatory cytokines by T cells.  Increased MAIT, Tfh cells, NK cells. Normal Treg	normal B cell numbers, but low switched memory. dysregulated germinal centers	hypogammaglobulinemia with low/normal IgG vaccine responses	NA	NA	combined immunodeficiency, recurrent upper respiratory infections/pneumonia, thrush, mucosal ulcers, chronic lymphadenopathy, SLE, ITP, Evan’s syndrome. EBV-associated HLH, lymphoma	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	NA	NA	NA	NA	uniprot.org/IKZF2	ensembl.org/IKZF2	omim.org/IKZF2	GWAS/IKZF2	omni/IKZF2	gnomad.org/r2IKZF2	gnomad.org/r3IKZF2	rcsb.org/IKZF2	genenames.org/IKZF2	hpo/ORPHA/IKZF2	hpo.jax.org/IKZF2	amigo.org/IKZF2	alphafold/IKZF2	gemma/IKZF2	clinicalgenome.org/IKZF2
